,seller_id,count_orders,count_products,sum_price_orders,count_orders_delivered,count_review_score_5,count_review_score_4,count_review_score_3,count_review_score_2,count_review_score_1,count_early_delivery,count_late_delivery
2370,d9cd369bffa979d1634f8e1318bf2f1b,3,3,678.0,3,3,0,0,0,0,3,0
2371,240b9776d844d37535668549a396af32,36,36,13592.08,35,22,8,2,2,2,33,3
2372,70f7e8018e3d46c748c92f026aa2585a,1,2,239.8,1,1,0,0,0,0,1,0
2373,d1e2fe627180431ffda076abb303c56f,1,1,289.0,0,0,0,0,0,1,0,1
2374,3f2af2670e104d1bcb54022274daeac5,6,7,973.6,6,2,2,0,0,2,5,1
2375,bb3dca718920a4d7ec3cc9ffb025108b,2,3,108.0,2,1,0,0,0,1,2,0
2376,babcc0ab201e4c60188427cae51a5b8b,1,1,79.0,1,1,0,0,0,0,1,0
4754,eed78ac17f7f795a19a709745f00cd4e,22,56,4349.5,22,10,5,2,2,3,22,0
4755,a2e874074c877c5a05abae80ad6e488f,44,46,8071.98,40,23,10,4,0,7,38,6
4756,abcd2cb37d46c2c8fb1bf071c859fc5b,45,52,4880.22,44,26,8,9,0,2,42,3
4757,1703bc09972dab9782e7a9194943b69f,1,1,249.9,1,1,0,0,0,0,1,0
4758,365e445f796710c3431557e85caa25db,4,5,1115.0,4,2,2,0,0,0,4,0
4759,0bb738e4d789e63e2267697c42d35a2d,30,31,2388.3,29,19,10,1,0,0,27,3
4760,3d290fe363c60a77498c1126fd3fb8d3,3,3,198.98,3,2,0,1,0,0,3,0
4761,325f3178fb58e2a9778334621eecdbf9,36,46,981.7,36,26,5,2,1,2,36,0
4762,8c16d1f32a54d92897cc437244442e1b,108,118,5642.6,108,71,18,10,2,7,106,2
4763,f5a590cf36251cf1162ea35bef76fe84,117,122,53201.78,113,75,21,7,1,13,100,17
4764,61f159ef6da2d441951d2c0efa719362,3,3,154.97,0,0,0,0,0,3,0,3
4765,1e8b33f18b4f7598d87f5cbee2282cc2,123,140,17309.06,122,87,18,3,2,13,111,12
4766,59cea8e446d3834393058e7e0666b6fb,10,10,696.6,10,8,0,2,0,0,10,0
4767,8c5e007d7bd5693fa1386ffefbc99f6c,9,24,1029.11,9,6,2,0,0,1,9,0
4768,1da3aeb70d7989d1e6d9b0e887f97c23,265,328,8823.52,261,159,48,24,8,28,242,23
4769,5b67882648febfb6e1225e6ad7164f6b,27,30,6813.48,27,15,4,4,1,3,26,1
4770,53e4c6e0f4312d4d2107a8c9cddf45cd,473,522,30148.95,463,271,87,51,22,45,432,41
4771,039e6ad9dae79614493083e241147386,5,5,12925.0,5,3,1,0,0,1,4,1
4772,d65f31d2413268e671989503f6cf9993,2,3,488.8,0,0,0,0,0,2,0,2
4773,cad10cc982ab6a391570c211b995c17c,1,1,47.4,1,1,0,0,0,0,1,0
4774,527801b552d0077ffd170872eb49683b,90,92,17942.8,90,65,13,4,2,6,80,10
4775,be67f78487e2cecb0d55bc769709e4f5,1,1,102.0,1,1,0,0,0,0,1,0
4776,8ca1551acf9832a4cf467bbbac15851f,11,12,2176.4,11,6,2,1,0,2,10,1
4777,2ea0861cc19e94cad86438c984c52da4,6,6,165.6,6,1,2,2,0,1,6,0
4778,7202e2ba20579a9bd1acb29e61fe71f6,53,55,12750.5,51,25,13,5,3,7,47,6
4779,0509040ea3fe50071181bbc359eb7738,89,98,3737.95,87,57,21,10,0,1,81,8
4780,20fd2d2080ed85fa67fad3fcbb2c1813,1,1,85.9,0,0,0,0,0,1,0,1
4781,2039c5e51785b5dde7cf93ccb3b7be2c,1,1,159.9,1,1,0,0,0,0,1,0
4782,62de60d81c55c29d76a6bce418b31cef,1,1,103.0,1,0,1,0,0,0,1,0
4783,eaf6d55068dea77334e8477d3878d89e,3,3,51.0,3,3,0,0,0,0,3,0
4784,e89c4adbe7b1d0819dbb636e16461cf1,24,25,3181.3,24,13,2,5,0,4,21,3
4785,2e2f44824ab87a0cb961f68bf4073e7f,1,1,48.0,1,0,0,0,1,0,1,0
4786,85ecf03781da592876b7844acc1b729f,2,2,251.0,2,1,1,0,0,0,1,1
4787,5c853bb56f70f4d14218944bae111d7a,23,24,263.13,23,14,4,0,1,4,23,0
4788,bba74270a87732727b5a3b4fd9ac1c39,36,41,6001.59,35,18,8,4,3,3,35,1
4789,e8ff5a6ceb895583033fc2a0f314e3c2,1,1,139.89,1,1,0,0,0,0,1,0
4790,835f0f7810c76831d6c7d24c7a646d4d,44,50,5130.0,42,18,6,6,1,13,29,15
4791,702835e4b785b67a084280efca355756,1,1,7.6,1,1,0,0,0,0,1,0
4792,4ea2f12dbe91deeacd2c1e74f069a6e6,4,6,210.2,4,3,1,0,0,0,4,0
4793,a066df7361163e7ddc5d7452dd17448b,15,17,1078.3,15,12,0,1,1,1,12,3
4794,bc8c8d665ec4664d286be0d521722b19,1,1,22.5,1,0,0,0,1,0,0,1
4795,5e106d93b717c2682b9383da480364a1,1,1,445.9,1,1,0,0,0,0,1,0
4796,bd4431c1a8dfa744b59e1e2a8bc99b9e,7,7,809.5,7,5,1,1,0,0,7,0
4797,bd4ff04377f974574f7f0bf9d6ce7dde,4,4,164.96,4,2,0,1,0,1,3,1
4798,3076499bbc033a927bf4a8a41bcf7fd4,7,9,359.33,7,5,0,1,1,0,7,0
4799,010da0602d7774602cd1b3f5fb7b709e,1,5,849.5,1,0,0,0,0,1,1,0
4800,4d6fb82c629c7a5028bfd973c07b05e0,2,2,278.0,0,0,0,1,0,1,0,2
4801,5d505d2298ad549e4e4e835562fa0c1e,2,2,249.8,2,2,0,0,0,0,2,0
4802,5aaa890629f83706d8d9bfecd8377c1c,1,1,48.9,0,0,0,0,0,1,0,1
4803,ad14615bdd492b01b0d97922e87cb87f,1,1,8.25,1,1,0,0,0,0,1,0
